,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Watsa,8,CD,1547355714,63,3.04,29.53,72.02,5.75
1,Camopi,92,GF,1547355716,99,3.17,-52.33,72.38,2.28
2,Arraial do Cabo,12,BR,1547355309,93,-22.97,-42.02,75.62,11.18
3,Bluff,0,AU,1547355405,34,-23.58,149.07,94.43,12.3
4,Tasiilaq,64,GL,1547351400,67,65.61,-37.64,17.6,3.36
5,Billings,1,US,1547355180,63,45.79,-108.5,33.08,17.22
6,Kavaratti,0,IN,1547355664,100,10.57,72.64,81.92,10.85
7,Pingliang,44,CN,1547355723,57,35.54,106.68,34.4,4.25
8,Port Alfred,0,ZA,1547355335,84,-33.59,26.89,69.32,8.55
9,Hofn,92,IS,1547355300,100,64.25,-15.21,35.75,24.94
10,Shubarshi,88,KZ,1547355726,94,48.59,57.19,29.9,13.91
11,Carnarvon,56,ZA,1547355350,86,-30.97,22.13,56.72,7.83
12,Punta Arenas,75,CL,1547352000,65,-53.16,-70.91,46.4,31.09
13,Mataura,88,NZ,1547355377,91,-46.19,168.86,55.37,4.63
14,Thompson,90,CA,1547352000,85,55.74,-97.86,14.0,6.93
15,Kings Mountain,90,US,1547355000,97,35.25,-81.34,35.06,5.82
16,Hermanus,12,ZA,1547355303,74,-34.42,19.24,63.2,9.95
17,Haimen,8,CN,1547355734,80,31.87,121.18,49.07,7.65
18,Busselton,0,AU,1547355304,80,-33.64,115.35,74.9,17.0
19,Tautira,75,PF,1547353800,78,-17.73,-149.15,80.6,12.75
20,Middle Island,75,US,1547355120,42,40.88,-72.94,28.94,6.93
21,Neuquen,0,AR,1547352000,48,-38.95,-68.06,64.4,5.82
22,Lebu,0,ET,1547352000,45,8.96,38.73,44.6,4.7
23,Hobart,0,AU,1547353800,40,-42.88,147.33,71.6,17.22
24,Newark,90,US,1547355360,44,40.74,-74.17,33.08,6.93
25,Ushuaia,75,AR,1547352000,70,-54.81,-68.31,44.6,29.97
26,Dikson,64,RU,1547355359,100,73.51,80.55,-12.04,31.43
27,Nouadhibou,0,MR,1547355679,80,20.93,-17.03,58.88,5.75
28,Tiksi,20,RU,1547355747,55,71.64,128.87,-31.84,3.36
29,Lagoa,0,PT,1547352000,49,37.14,-8.45,48.2,8.05
30,Aklavik,5,CA,1547352000,65,68.22,-135.01,-34.61,3.36
31,Armidale,0,AU,1547355751,54,-30.51,151.67,79.67,8.55
32,Yellowknife,20,CA,1547352000,75,62.45,-114.38,-16.61,10.29
33,Atbasar,36,KZ,1547355753,81,51.81,68.36,9.92,12.64
34,Rikitea,80,PF,1547355344,99,-23.12,-134.97,79.49,15.21
35,Laje,92,BR,1547355756,85,-13.18,-39.42,70.67,3.58
36,Cao Bang,92,VN,1547355757,100,22.67,106.25,60.95,3.58
37,Cape Town,20,ZA,1547352000,93,-33.93,18.42,62.6,10.29
38,Airai,32,TL,1547355516,64,-8.93,125.41,83.09,2.13
39,Mayo,5,CA,1547352000,75,63.59,-135.9,-18.41,2.57
40,Hilo,90,US,1547351580,75,19.71,-155.08,73.04,3.36
41,Solnechnyy,64,RU,1547355763,78,50.72,136.64,-3.94,3.06
42,Saurimo,92,AO,1547355764,94,-9.66,20.4,67.25,7.43
